age,education,capitalGain,income
32,7,0,<=50k
45,9,1,<=50k
44,3,1,>50k
39,1,1,<=50k
57,5,0,<=50k
26,8,0,<=50k
42,4,0,>50k
44,7,1,<=50k
28,5,1,>50k
43,1,0,<=50k
58,3,1,>50k
46,2,1,>50k
56,6,1,>50k
53,3,0,<=50k
36,7,0,<=50k
47,2,1,>50k
45,1,0,>50k
41,4,0,>50k
48,9,0,<=50k
57,3,1,>50k
31,6,0,>50k
45,1,0,<=50k
47,4,1,<=50k
44,8,0,<=50k
39,7,1,>50k
31,9,0,<=50k
38,1,1,<=50k
35,7,1,>50k
51,10,0,<=50k
39,1,0,<=50k
46,10,1,<=50k
59,4,0,<=50k
30,8,0,<=50k
57,3,1,>50k
58,7,1,<=50k
51,8,0,<=50k
37,8,1,<=50k
58,1,1,>50k
52,1,0,<=50k
36,5,0,>50k
42,6,0,>50k
37,6,1,<=50k
28,2,0,>50k
43,6,1,>50k
56,10,1,<=50k
39,8,0,<=50k
40,7,0,<=50k
56,3,1,<=50k
41,1,1,>50k
52,2,1,<=50k
48,9,1,<=50k
31,2,1,<=50k
53,5,0,<=50k
26,9,0,>50k
25,6,0,<=50k
28,2,0,<=50k
48,5,1,>50k
33,10,0,<=50k
36,3,1,>50k
41,7,1,<=50k
27,3,1,>50k
49,10,1,<=50k
47,9,0,>50k
26,7,0,<=50k
25,10,1,<=50k
52,4,0,>50k
35,4,1,<=50k
57,1,0,>50k
28,6,0,<=50k
53,3,0,<=50k
26,1,1,>50k
43,2,0,<=50k
30,6,0,>50k
37,10,1,>50k
44,8,0,<=50k
28,5,1,<=50k
38,2,0,>50k
48,9,0,>50k
40,10,0,<=50k
40,2,0,>50k
33,5,1,>50k
25,6,0,<=50k
29,6,1,>50k
29,5,0,>50k
46,5,0,<=50k
26,3,0,<=50k
56,4,0,>50k
34,3,1,<=50k
32,6,1,>50k
50,10,1,<=50k
50,5,1,<=50k
59,10,0,<=50k
57,3,1,>50k
28,1,0,<=50k
54,10,0,>50k
52,4,1,<=50k
26,3,1,>50k
53,10,1,<=50k
53,10,0,>50k
44,1,0,>50k
36,5,1,<=50k
56,5,1,<=50k
59,2,1,>50k
53,4,1,<=50k
55,7,1,>50k
31,5,0,<=50k
39,3,1,>50k
35,1,1,>50k
26,5,1,>50k
33,5,1,>50k
31,7,0,<=50k
44,9,1,<=50k
43,7,0,<=50k
41,8,0,>50k
33,5,0,>50k
57,4,1,<=50k
36,9,1,>50k
46,7,1,<=50k
58,2,1,<=50k
34,9,1,<=50k
57,5,0,>50k
32,6,1,>50k
26,6,1,<=50k
60,2,1,>50k
42,10,0,>50k
53,5,1,<=50k
60,7,0,>50k
26,1,1,<=50k
35,10,1,<=50k
44,4,1,<=50k
51,9,1,<=50k
26,10,0,<=50k
30,1,1,<=50k
25,6,1,<=50k
59,6,0,>50k
32,4,0,>50k
36,8,1,<=50k
50,1,0,<=50k
37,5,1,<=50k
59,2,0,>50k
42,2,1,>50k
42,1,0,>50k
58,10,0,<=50k
43,6,1,<=50k
60,7,1,<=50k
31,9,0,>50k
43,4,0,>50k
42,7,0,>50k
36,8,1,<=50k
52,10,0,<=50k
36,2,1,>50k
37,5,0,<=50k
41,3,0,>50k
37,9,0,<=50k
40,4,0,>50k
37,4,0,<=50k
49,5,0,>50k
33,1,0,<=50k
32,6,1,>50k
55,9,1,<=50k
59,7,1,>50k
56,2,1,<=50k
25,9,0,>50k
57,7,1,<=50k
29,3,1,>50k
29,6,0,>50k
39,5,0,>50k
32,1,1,>50k
52,7,1,<=50k
35,5,0,<=50k
29,3,0,>50k
28,4,1,>50k
56,2,0,>50k
28,4,0,<=50k
37,4,1,<=50k
56,3,0,<=50k
40,5,0,>50k
30,8,1,<=50k
58,3,0,<=50k
35,10,1,>50k
40,2,1,>50k
45,7,1,<=50k
50,5,0,<=50k
36,2,1,<=50k
36,10,0,<=50k
45,9,1,>50k
32,9,0,>50k
32,2,0,<=50k
59,7,1,<=50k
35,4,1,>50k
60,2,0,<=50k
42,4,0,<=50k
